Origin	Total	Alabama	Alaska	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Guam	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Puerto Rico	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	U.S. Armed Services Posts	U.S. Dependencies	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
American Samoa	14	0		0	0	5	0	0	0	0	0		0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0			0	0		0	0		0	0	0
Andorra	3	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Angola	148	0	0	3	0	9	0	3	0		6	4	0	0	0			0	0				3	35			8	0			0	0	6	0	17	6	0			0	6	0	7		0	0	10	0	0		0	5		0	0	0
Anguilla	19	0	0	0	0		0	0	0	0	5		0	0	0	0	0	0	0	0	0	0		0	0	0	0		0	0	0	0	0	0			0	0	0	0		0	0	0	0	0		0	4	0	0	0	0	0	0	0
Antigua-Barbuda	359	3	5	0	0	4	0	4	3	3	55	10	0		0				0				7	4	3	0	0		0	0	0	0	30	0	134	3	0	3	0	0	12				0	3	8	0	44	0	0	5	0			0
Argentina	4399	7	7	30	7	653	38	73		16	1581	68	0	13	8	92	18	7	6	8	9		83	61	41	13	9	23			60		169	9	440	50	3	46	12	28	48	46	6	19		20	274	0		77		129	46	3	27	4
Armenia	2979	0		9		2195	37	12	0	7	36	12	0	0		11	5	0	0	5	4	0	29	79	11			7	0		63		48	3	224	13	0	30	0	5	21		3	7	0	5	18	0	0	18	0	24	20	0	7	
Aruba	49	0	0	0	0				0	0	13	3	0	0	0		0	0	0	0	0	0	0			3	0	0	0	0	0	0		0	8	0	0	0	0	0	4		0	0	0	0	5	0	0	0	0		0	0	0	0
Australia	2512	6	10	45	5	596	84	29		9	118	59		27	6	57	31	13	10	11	15	3	35	60	45	36	3	31	3		41	8	76	18	310	61	4	48	14	37	61	3	3	14	5	62	145	0	4	47	6	53	108	3	25	3
Austria	442			9		91	10	8	0	3	32		0	7		22	3		0		4		5	11	13	3	0	0	0	0			13	3	82	8	0	5		6	14			4	0	4	21	0		3	0	12	18	0	6	
Azerbaijan	781			4		194	6	3	0		18	9	0	0	0	18				6		12	23	24	16	7		6	0	0	5		22		175	13		12			25	0					67		0	3	0	36	46	0	4	0
Bahamas	652	5	0	3		12		3		0	410	46	0	0		8			0	4	4	0	10	3	3	0	5	3	0	0		0	18		22	8	0	6			7	0		6	0	8	27	0		0	0	10		0		0
Bahrain	104	3				12		0			13		0	0		3	3	0		0	0	0	0	3	8	0	0		0	0	0	0	6	0	10	3	0		3			0	0	0	0		12	0	0		0	4				0
Bangladesh	14819	29	7	75	17	848	16	246	47	24	636	394	0	5	6	150	37	7	38	6	31	0	230	227	807	54	15	39		9	53	20	1038	7	7597	72	5	101	36	28	432	0	5	31	0	29	644	0	21	5	3	613	48	5	23	
Barbados	465		0		0	8	3	8	0	0	61	14	0	0	0	7			0			0	19	31			4		0	0		0	15	0	238	8	0			0	12			0	0		8	0		0		3		0		0
Belarus	2038	7	10	6		228	45	43	16	11	101	39	0	5	3	120	17	4		6	0		39	111	18	93	3	17		5	14	6	117	0	490	37		32	6	18	153	0	5	16		7	43		0	7	0	38	63	0	28	
Belgium	592			15	3	80	9	8	0	3	41	23	0		0	27	9				7	4	19	11	25	6	0	3	0	0	5	4	31		98	17	0	16	6	7	14	0	4			6	38	0	0		3	13	13	3	4	0
Belize	965		0	8	3	351			0		67	21	0	0	0	91	0			3	13	0	12	4	7	0	8	3	0	0	21	0	14		124	16	0	3	8	5	16	0	0	7		21	92	0	0	3	0	16	6		4	4
Benin	486	3		7		13	19	6		4	13	21	0	0		46	24	7				0	74	6		7	0	4		20	8	5	6		49	20	0	4			38	0		3	0		24	0		0	0	28	6	0		0
Bermuda	72		0		0	4	0	0		0	15	8	0	0	0		0	0	0	0	0		5	3	0	0	0	0	0	0	0	0		0	5	4	0	3	0	0	4	0			0		5	0	0	0	0	5	0	0	0	0
Bhutan	6109	0	0	346	0	238	318	0	0		113	628	0	0	158	202	0	40	66	188		0	162	167	161	78	0	92	0	6	33	271	22	15	354	156	127	275	0	109	330	0		0	30	73	560	0	0	167	128	137	352	0	0	0
Bolivia	2253	8	8	11		204	23	17		13	342	18				24	8	3	8	6			187	43		13		15			14		73	4	179	17		5	9	4	12	4	55	12	0	5	126	0	0	19	0	725	13	0	9	0
Bosnia-Herzegovina	946			26	0	79	20	19	4	3	61	43	0		17	72	12	48		22			3	30	40	12		78	0	7	12	14	19	0	81	8	5	22		5	34	0		5		9	37	0	0	16	6	20	31		10	0
Botswana	66	0	0	5	0	6			0			5	0	0	0					0	0	0	7				0	0	0	4	0	0	3	0	4		0		0		3	0	0	0		4	0	0	0	0	0			0	5	0
Brazil	12258	51	13	92	17	1388	121	377	10	25	2781	450	0	53	16	228	58	22	48	30	82	16	215	1812	113	63	24	86	6	15	86	63	1029	14	950	142	5	123	28	43	178	12	62	84		64	555			171	18	195	161	5	49	5
British Virgin Islands	46	0	0	0	0	0	0		0	0	5		0	0	0	0	0		0	0	0	0		0	0	0	0		0	0			5	0	12	0	0	0	0	0				0	0			0	10	0	0		0	0	0	0
Brunei	20	0	0		0	5	0	0	0	0		3	0	0		0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0			0	0	0
Bulgaria	2570	9	7	41	7	298	39	19	14	14	204	78	0	11	4	433	21	21	17	10	17	12	63	132	41	19	0	40	5	7	87	4	81	5	257	36	5	35	7	19	60			34		11	115	0	0	13	3	84	91	4	31	0
Burkina Faso	377		0			7	5		0	7		13	0	0		15	8				0		30	3	0	6	0		0	6	0		38	0	130			14			12				0		23	0	0	3	0	5	11		7	0
Burma	12925	7		341	3	1099	325	96	9		315	532	0	8	52	443	1284	231	213	177	31		418	136	316	564	3	180	0	472	20	3	105	4	1269	570		162	321	103	268	0	0	46	83	204	1716	0		164	44	136	281	9	153	0
Burundi	841	12	0	28	0	11	17	3	0	0	7	23	0	0	31	24		71	4	17		11	16	27	10		0	16	0	12	0	25	0	8	60	27	9	48		17	28	0	11	14	12	17	142	0	0	20	11	37	10	0	0	0
Cambodia	2986	8	5	35	5	921	35	37			95	51	0	5		37	4	6	20	27	9	20	42	345	18	140	6	24	0	3	12	11	22		45	52		46	6	23	142	0	61	19		21	243	0	0	30	0	102	228	0	17	0
Cameroon	4161	26	3	27	18	209	36	7	40	68	74	222	0	4		119	24		23	36	24	6	1384	180	58	163	3	28		16	16	5	99	9	190	67	9	111	44	5	79	0	4	21	0	26	408	0	3	14		187	26	4	26	4
Canada	13328	76	54	382	38	2144	239	194	19	30	1072	362		94	78	407	162	70	67	74	68	88	189	457	638	207	42	127	52	40	167	74	373	44	1192	308	61	332	67	152	350	5	31	157	17	199	942			136	47	266	718	33	161	20
Cape Verde	1668	0	0	0	0		0	31	0	0	22		0	0		0	0	0	0	0	0	0	4	1224		0	0	0	0	0	0	0	18	0	11		0	0	0	0	6	0	335	0	0	4		0	0	4	0	0	0	0	0	0
Cayman Islands	52	0	0	0	0					0	22		0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0		0	6		0	0	0	3	3	0	0		0	0	3	0	0	0	0	0	0	0	0	0
Central African Republic	101	0	0	5	0	3		0	0				0	0	0		0	0	0	3	0	5	13			0	0	12	0	0	0	0		0	12	5	0	8	0	0	0	0	0	0			8	0	0	7	0	4		0	0	0
Chad	120	0		3	0			3	0			0	0	0	0		16	0	0	3			17	4			0		0	0	0	0	12	0	16	0	0	4	0		14	0	0		0	0	6	0	0	0	0	4		0	0	0
Chile	1950		3	22	8	255	35	21	6	10	476	50	0		11	27	7		12	4	6	0	61	50	10	17	5	10	3	4	22	3	116	7	225	44	0	14		26	33	15		9	0	7	103	0	0	98		42	49	0	12	
China, People's Republic	70863	315	51	542	169	18680	605	648	123	115	1620	1063	68	595	151	2134	593	226	289	275	324	103	1530	2631	1040	650	129	561	41	139	571	132	2253	151	18859	872	56	1061	240	745	2027	78	154	255	58	557	3280		90	251		1350	1749	83	494	50
Colombia	22406	56	28	137	31	1159	93	435	39	33	8277	729	0		23	379	75	25	56	47	83	14	325	596	78	74	26	57	4	42	104	59	2465	29	3089	386	4	115	56	46	334	164	238	251	6	90	1352		6	107	7	337	142	10	77	5
Comoros	4	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Congo, Democratic Republic	1764	5	9	59	0	56	54	42		0	9	110	0	0	15	135	11	27	8	54	18	20	61	62	14	10	0	43	0	26	4	36	9	4	95	205	3	34	11	5	41	0	3	10	29	16	261	0	0	25	11	68	29		14	0
Congo, Republic	968	10		39	0	37	17	11	0	5	11	48	0	0	8	81	6	33	5	13	9		42	31	10	10		29	0	16	0	10	15	0	63	88	9	21	4	7	33	0	3	4	10	21	119	0	0	13	10	32	22	0	9	0
Cook Islands		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0
Costa Rica	2164	11		21	12	207	31	43	5	6	435	67	0	4	5	22	10	4	9	6	22		48	24	19	10	10	9			28		412	4	128	119		20	6	11	53	24	3	40		27	118			13		50	22		26	4
Cote d'Ivoire	1621	4		30	0	49	16	24		10	20	105	0	0		44	19	29		10	5	0	162	48	24	48	0	26	0	13	11	8	57		359	43	17	44	4	19	100	0	25	5	19	17	86		0	10		55	27		15	
Croatia	357	0	0	5	0	58	5	5			24	14	0		0	29	4		0	0		0	15	11	5	3		15		0	8	0	16	0	68	3	0	9		3	9		0		0	0	14	0	0	3	0	10	4	0	4	0
Cuba	33573	20	4	282	5	450	49	50	8	11	27301	261	0			121	27	10	41	522	112		38	31	126	9	14	137	0	172	620	4	652	92	416	166		25	21	111	171	99	6	24		100	1023			33	0	120	58	0	23	0
Cyprus	122	0	0	3	0	15	0	3	0		10	5	0	0	0	3				0	0	0	3	8			0	0	0	0		0	11	0	24		0			0	5	0			0	0	5	0	0	0	0	6		0		0
Czech Republic	190	3		9	0	23				11	13	4	0	0	0	14		0	0	0		0	8		5	0	0	4		0	5	0	5	0	23	4	3	3		6	9	0	0		0		4	0	0		4	5	7	0		0
Czechoslovakia, former	750	18		15		114	20	7		9	137	25	0	3		67	6			4	5		7	22	17	5	4	5			6	5	26		70	23	0	10	0	10	20	0		3	0	15	15	0	0	5	0	16	18	0	4	0
Denmark	518	0			0	101	6	17			35	27	0	3		9	9						9	14	9	5		4	3	0	4		36	3	58	14		6		13	4			0	0	7	40	0	0	4		18	30	0	5	
Djibouti	37	0	0		0				0		0		0	0	0	3	0	0	0	0	0	3			0	8	0	0	0	0		0	0	0		0	0	3	0	0	0	0	0	0		0		0	0	0	0	0		0		0
Dominica	366		3	0	0	7	0	6		0	35	12	0	0	0	10		0	0		3		8	15			0	5	0	0	0	0	23	0	118		0	0		0	3	0			0	0	16	0	77	0	0	7		0		0
Dominican Republic	53870	18	67	50	14	172	28	830	50	152	3900	264	0		7	166	63	15	10	17	108	24	498	4149	122	41	28	33	0	19	47	190	8444	12	26249	299	0	145	10	15	2077	3216	1204	35	5	42	275		394	36	5	232	27		58	
Ecuador	11492	5	4	36	7	429	23	431	16	8	1447	106	0	4	10	405	32	8	20	13	17	5	181	149	26	99	14	32		9	37	7	2221	10	4562	228	4	34	15	22	201	18	12	45	3	40	240		0	61	3	131	40	3	15	
Egypt	8978	28		62	8	1253	30	65	33	9	381	87			4	215	43	25	17	20	36		120	262	124	131	10	33		15	19	22	1849	12	1556	142		169	11	82	369	4	29	62	3	563	379		0	17		531	88	8	37	
El Salvador	18806	21	16	87	141	6056	140	65	26	256	589	300	0		5	157	89	80	94	22	41	4	1555	579	35	83	7	40	0	99	326	4	685	11	2151	348	0	29	26	60	91	13	48	25	11	61	2499	0	0	102		1561	139	7	17	0
Equatorial Guinea	12	0	0		0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	0	0	0	3	0	0	0	0		0	0	0	0
Eritrea	1656	3	0	38		295	48	5	7	52	13	96	0	0	5	41	12	11	6	6		0	99	34	19	45	0	36	0	0	63		17		31	65	0	60	11	10	31	0	4	0	44	8	136	0	0	10	0	148	136		3	0
Estonia	260		0	3	7	41	7	4	0	0	47	5	0	0		15	0			0		3	5	3			0	3	0		0		10		37	8	0	12		3	7		0		0		7	0	0		0	3	12	0		0
Ethiopia	14266	32	16	178	20	1368	601	48	10	568	167	817	0	10	29	321	148	90	125	141	18	26	1449	321	195	1026		186	25	65	455	14	115	30	314	284	21	367	53	216	264		12	32	98	289	975	7	0	76	9	1491	991	8	129	9
Falkland Islands		0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fiji	1201		0	7	0	895	5	0	0	0	7	5	0	12	0	4	0	0	0	0	0	0	0	7	4	8	0		0	0	8	0		0	6		0	3		59				0	0	0	7	0	0	10	0	3	134	0	3	
Finland	397	0			0	103	9	8	0		43	10	0	0		7		4		3	4	0	6	8	4	4			0		3	6	5	0	34	12	0	3			18			0		0	33		0	4		19	24	0	3	
France	3861	5	5	54		895	61	47	4	43	414	94	0	24	8	111	23	10	17	14	20		109	143	46	39	4	26	4	9	44	12	145	7	658	51		46	5	35	101	6	13	35		12	237		4	16	9	79	75	7	24	4
French Guiana	9	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0		0	0	0	0		0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
French Polynesia	16	0	0		0	4	0	0	0	0	0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0		0		0		0	0	0	0	0	0	0	0	0	0	0		0			0	0	0	0	0	0
Gabon	138	5	0	3	0	9		0	0	0	5	7	0		3	4		0	0	0		0	14	5	5		0		0				4	0	21	3	0	7		0		0		0	0		16	0	0			4		0		0
Gambia	859	5	6	3	0	19	5	4			11	108	0	0		3			4	19		0	57	7	28	31	4	4	0	0		0	16	0	221	50		21		7	19	0	21		0	16	30	0	0	0	0	9	88		25	0
Georgia	1518		3	4	3	150	4	18	0	4	67	26	0	0	0	31	3			7	0	0	24	22	7	7	7	7	0		8		222	0	665	9	0	27	3	9	75	0		9		3	18		0	6	0	32	23			0
Germany	6888	76	25	137	20	1139	140	88	13	28	661	224	0	43	14	268	58	31	45	60	51	16	143	167	226	78	16	85	22	11	65	20	195	37	743	184	17	124	49	63	228	12	11	109	9	61	449	12		37	10	215	212	23	109	
Ghana	7429	22	5	52	10	232	174	135	52	20	94	373	0	3	5	277	31	21	22	35	19	6	629	384	92	157	7	42		16	27	13	696	7	1616	162	4	458	53	25	183	0	26	24	6	65	339			27	12	643	78	8	31	7
Gibraltar	6	0		0	0		0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Greece	745	0	0	11	0	77	5	22		5	58	11	0	0	0	42	6		0	6	5	0	18	74	16	6	0		0		6	4	52	0	172	12	0	14		3	37	0	4	6	0	4	25	0	0	0	3	18	6	0	9	0
Greenland		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0
Grenada	664	0	0	0		10	6	6	0	0	27	14	0	0	0	0		0	0	3		0	39	12	0	0	0	0	0	0	0	0	22	0	450	4	0				10	0	0	3	0	0	26	0	15	0		6			0	0
Guadeloupe	34	0	0	0	0	0	0	0	0		9		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	7	0	0	0	0	0	0	0		0	0	0	0	0	12	0	0		0	0	0	0
Guatemala	10467	92	9	138	51	3665	79	166	23	30	774	248	0	6	10	323	64	67	62	33	44	7	367	342	59	48	14	77		203	170	4	478	42	667	135	0	51	59	111	85	13	316	48	25	75	571		0	101		347	130		29	3
Guinea	1379	12	0	11	0	18	9	12	6	5	14	100	0			31	24		3		0	0	106	38	23	32	4		0	0	4	3	41	0	616	18	0	55	0	4	71	0	10			16	38	0	0		0	20	13	0	7	
Guinea-Bissau	30	0	0	0	0		0	0	0	0			0	0	0	0	0	0	0	0	0	0		7		0	0	0	0		0		0	0	3	0	0	0	0		0	0	6	0	0	0	0	0	0	0	0		0	0	0	0
Guyana	6749		4	11	0	52		101	10	24	544	148	0	3	0	11	7			7	13	0	179	35	5	83	0	5	0		4		591		4631	28	0	25	4	0	72		6	3	0	9	51	0	12			41	3	4	8	0
Haiti	22582	6	3	16		81	20	504	105	10	11865	359	0		7	127	42	4	19	39	37		311	1838	35	13		54	3	5	13	17	1719		4240	63	7	51	3	12	500	7	76	17	0	16	73		96	15	4	88	36		12	
Holy See		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Honduras	6448	19	4	58	30	881	51	59	5	20	1201	120	0	0	4	132	42	22	26	20	303	4	198	146	36	30	15	53	3	29	49	11	356	13	805	187		42	23	33	59	11	10	34	3	71	768	0	0	34		323	53	4	44	
Hong Kong	2432	3	0	15		1112	12	17			33	22	4	40		60	5		6	4	8		50	90	17	27	3	7			24	5	87	7	434	21		19	5	20	33		3	4		8	90	0		15		17	80	0	5	0
Hungary	1022		0	15	0	166	13	19	3		211	15	0			20		4				3	17	15	7	11		14	3		19	3	63	4	172	16	0	27	4	7	17			6		14	52	0	0			22	23	0	14	0
Iceland	105	0	0	0	0	15		0	0	0	25	7	0	0	0					0	0	0	0	5	0	0	0		0			0			18							0	0	0	0		3	0	0	0	0	6	3	0	3	0
India	69162	361	24	805	239	15099	413	1007	346	41	2019	2436	5	24	50	4845	705	262	399	336	259	51	1750	2067	1697	725	199	544	10	124	279	226	8123	107	5116	1370	57	1418	292	462	2510	10	77	356	18	644	5777	3	16	171	26	2613	1957	59	624	9
Indonesia	3032	14		40	19	1190	80	21	3	7	79	74		22		66	22	10	15	12	20	3	109	35	34	21	7	6		5	32	39	87	10	216	30		28	21	24	145	0	3	4		17	225			13	0	60	132	3	15	3
Iran	14182	51	3	207	14	7840	113	78	11	56	356	336		18	26	294	50	9	69	61	31	18	472	223	139	60	10	58		16	105	12	176	31	375	123	17	105	79	103	106	6	11	34	3	122	1073	0	0	65		630	298	20	64	
Iraq	19855	104		1221	14	4691	323	72		31	325	365	0	8	243	1142	52	121	84	261	60	88	248	492	3591	144	21	304	5	116	117	67	157	64	369	291	133	320	58	161	326	0	40	49	50	423	1591	0	0	193	26	886	294	8	101	
Ireland	1507	4		24	5	216	25	23		7	79	24			0	92	13	3	7	9		4	22	171	13	19	0	11		5	6	5	50	5	354	17	0	20	4	21	55	0	5	14	4	9	52		0	4	3	31	51	3	6	
Israel	4515	9	3	51	3	1026	37	41	6	19	443	81	0	11	0	172	30	12	9	7	33		118	132	54	36	7	43		3	102	19	303	7	954	58	0	92	6	29	82	5	12	23		32	220	0		7		57	84		30	0
Italy	2579	8	6	32	8	474	28	52	3	30	327	53	9	10	4	80	22	4	5	3	13	5	49	108	47	17	3	23		0	22	4	127	6	460	44		31	7	10	72	25	8	20		16	126		0	16	4	77	56		18	0
Jamaica	19825	54	8	56	7	289	68	976	77	53	5499	851	0	5	4	193	35	8	5	14	43	32	702	569	103	48	64	86	4	6	20	37	1275		6844	185		117	20	18	599		34	124	9	35	279		12	12	19	240	25	17	38	
Japan	6264	28	15	68	14	1867	105	61	9	20	200	118	55	392	15	173	53	22	31	46	29	14	91	164	135	51	11	55	12	15	69	10	178	22	709	88	3	109	29	112	127	0	5	37	8	50	239	4	25	51	9	136	307	9	53	6
Jordan	3868	44	3	76	15	589	28	11	5	3	192	46	0		14	451	46	17	32	55	81	3	56	78	192	27	12	56	0	4	12	7	220	9	255	96	5	225	13	13	70	8		22	0	114	379	0	14	23	0	146	51	4	42	0
Kazakhstan	1282	7	4	10	3	172	35	14	6	10	77	22	0	4	6	40	15	3	4	8	4	10	42	50	18	18		13	4		6	6	50		226	18	0	29	4	23	54			7		16	77	0	0	10		55	80		11	
Kenya	7421	140		112	17	458	82	28	153	32	134	356	0	5	20	100	135	79	211	84	18	71	326	474	83	792	8	211	3	52	25	45	363	10	228	255	28	188	44	43	268	0	22	39		91	938	3	0	50	14	163	362	3	46	4
Kiribati	6	0	0	0	0	0	0	0	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Korea, North	35	0	0	3	0	12	3	0	0	0		0	0		0	3	0	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0		0	0	0	0	6	0	0	0	0
Korea, South	22227	259	86	213	56	7467	257	119	26	18	363	940	69	242	17	785	138	63	92	90	70	19	780	326	317	163	33	142		34	159	26	1674	34	2087	260	12	233	78	153	509		24	85	14	170	1280	9	14	76	10	1135	871	12	104	8
Kosovo	355	0		6	0	9		14	0	4	16	15	0	0	0	23		8	0	8	0	0	3	5	11		0	8	0				21		119	5					14	0	0	0			18		0		0	9	4		8	0
Kuwait	1037	12		22		149	9	11	3	3	46	32	0		9	63	18	9	9	12	15	4	16	20	48	17	4	9	0	3	4	4	40		69	31	0	50	7	14	18	0		6		29	126	0	6	6	0	37	19		14	
Kyrgyzstan	507		3	7		66	14	3	0	4	18		0		0	11		0	3	3	7		13	17	6	12	0	8			6		22	0	90	12		16	3	24	27		0	6	0		22	4	0	7	0	21	27			3
